title,price,location,neighborhood,rooms,bathrooms,area_m2,publisher,url
Casa en  Venta en Tunja,700000000.0,"Tunja, Boyaca",N/A,3,4,185,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192134210
Casa en Venta en Tunja,240000000.0,"Tunja, Boyaca",N/A,7,2,150,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263330
"Casa en venta en Surinama, Tunja",380000000.0,"Tunja, Boyaca",Surinama,4,3,150,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-surinama-tunja/7965862
Casa en  Venta en Tunja,550000000.0,"Tunja, Boyaca",N/A,4,3,130,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273491
Casa en  Venta en Tunja,180000000.0,"Tunja, Boyaca",N/A,4,2,110,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274044
"Casa en venta en Santa ines, Tunja",550000000.0,"Tunja, Boyaca",Santa Ines,5,4,235,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/10060648
"Casa en venta en Centro, Tunja",1200000000.0,"Tunja, Boyaca",Centro,6,3,385,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-centro-tunja/5943777
Casa en  Venta en Tunja,195000000.0,"Tunja, Boyaca",N/A,4,2,85,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272812
"Casa en venta en El topo, Tunja",410000000.0,"Tunja, Boyaca",El Topo,3,3,213,Inmobiliaria Eskala,https://www.fincaraiz.com.co/casa-en-venta-en-el-topo-tunja/10392620
Casa en  Venta en Tunja,600000000.0,"Tunja, Boyaca",N/A,8,3,72,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273685
Casa en Venta en Tunja,710000000.0,"Tunja, Boyaca",N/A,5,4,290,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263267
Casa en  Venta en Tunja,452510000.0,"Tunja, Boyaca",N/A,5,6,156,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272730
Casa en  Venta en Tunja,450000000.0,"Tunja, Boyaca",N/A,12,5,280,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273903
"Casa en  Venta en Villa universitaria, Tunja",375000000.0,"Tunja, Boyaca",Villa Universitaria,4,3,157,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-villa-universitaria-tunja/191273898
"Casa en Venta en Santa barbara, Tunja",850000000.0,"Tunja, Boyaca",Santa Barbara,10,9,200,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-santa-barbara-tunja/192380113
Casa en  Venta en Tunja,250000000.0,"Tunja, Boyaca",N/A,2,2,63,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273092
Casa en  Venta en Tunja,400000000.0,"Tunja, Boyaca",N/A,3,4,150,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274029
Casa en  Venta en Tunja,950000000.0,"Tunja, Boyaca",N/A,11,10,433,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273661
Casa en  Venta en Tunja,340000000.0,"Tunja, Boyaca",N/A,7,4,225,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191272910
"Casa en venta en Santa ines, Tunja",490000000.0,"Tunja, Boyaca",Santa Ines,N/A,N/A,230,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/10915528
Casa en  Venta en Tunja,240000000.0,"Tunja, Boyaca",N/A,4,2,115,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191996918
